Instrument,Price,Last Modified,Location,Description
Korg DW-6000 del 1985 - Vintage Digital/Analog Polyphonic Synth! Spediz. gratis!,"€ 450,00",oggi alle 22:31,Forlì-Cesena,"Vendo mitico synth Korg DW-6000, prodotto in Giappone nel 1985!

NUMERO DI SERIE: 002342

CONDIZIONE: Questo Korg DW-6000 è perfettamente funzionante e in buone condizioni estetiche per la sua età..."
Nord LEAD 2X virtual analog,"€ 750,00",oggi alle 22:25,Pesaro e Urbino,"Non ha un graffio e funziona benissimo. Vendo per passare a Roland Fa07.
Non trattabile, sconto solo se acquistata con Motif XF7 dell'altro mio annuncio.
Mauro 3317464145..."
"Roland V-Synth, sintetizzatore campionatore","€ 1.700,00",oggi alle 22:13,Cuneo,"Vendo in condizioni come nuovo, usato pochissimo, con scheda PC card da 1 GB, il prezzo comprende spese di spedizione...."
Korg DW 8000,"€ 500,00",oggi alle 22:12,Cagliari,"In buono stato e perfettamente funzionante, con batteria tampone appena sostituita. Possibilità di spedizione a vostro carico...."
Roland Card M-256e,"€ 100,00",oggi alle 22:12,Cagliari,"Funzionante, senza confezione e con possibilità di spedizione a vostro carico..."
Vendo Roland boutique JU06 modulo più tastiera,"€ 300,00",oggi alle 22:06,Napoli,"Vendo Roland boutique JU06 compreso di tastiera
Causa inutilizzo, ottime condizioni, usato solo in casa studio.
Ps: non ho più gli scatoli, spedizione a carico mio
Pagamento PayPal 
Non scambio..."
ROLAND BOUTIQUE JX-03 CON TASTIERA K25M,"€ 360,00",oggi alle 21:57,Ancona,"Pari al nuovo, esteticamente e operativamente, tasti, tastini, switch e pomelli perfetti;

Tenuto sempre in studio non fumatore;

Zero graffi, scatole originali;

Editor VST plugin;

Disponibi..."
Roland U-20,"€ 125,00",oggi alle 21:57,Caltanissetta,"Tastiera funzionante in perfetto stato nonostante l'età usata sempre in studio preferisco ritiro in loco a Gela prov . caltanissetta ma posso anche spedire a carico destinatario
Nessuna colla rossa o..."
Clatters Machines - Pocket Garden Listener - random sequencer e generatore cv,"€ 230,00",oggi alle 21:56,Roma,"Acquistato a Marzo 2022, stato pari al nuovo (290€). 
Vendo per passaggio a eurorack. 
Completo di accessori e scatola originali. Alimentato via usb.
Spedizione assicurata inclusa.

- - - - - - -..."
CCTV Atari Goth Console - Atari Punk Console mod - drone noise synth,"€ 39,00",oggi alle 21:56,Roma,"Atari Goth Console assemblato da kit. 

- Alimentato a batteria 9v (inclusa), 2 jack per la comunicazione CV con altri strumenti modulari, 1 jack mono out, 2 oscillatori con potenziometri
- Si cont..."
Behringer Model d,"€ 250,00",oggi alle 21:52,Milano,"Vendo su Milano Behringer model d, o spedisco con spese a carico del compratore, prezzo non trattabile...."
hsta 01 baby 8 sequencer eurorack,"€ 50,00",oggi alle 21:52,Prato,"vendo modulo sequencer perfettamente funzionante
PayPal bonifico bancario
spese di spedizione escluse..."
clock o pawn  eurorack,"€ 70,00",oggi alle 21:52,Prato,"vendo modulo clock in ottimo stato
valuto scambi con altri moduli
spedizione a parte PayPal bonifico bancario..."
